Category,City,Country/Region,Customer Name,Date String,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Selected State,Ship Date,Ship Mode,Size,State,State Name,State Set,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Apple Valley,United States,Nat Carroll,2018-03-01,Space Solutions,2018/3/30,US-2018-113124,55124,Space Solutions Commercial Steel Shelving,Central,Consumer,伪,2018/4/5,Standard Class,伪,Minnesota,Other (median),3,Storage,0,6.465000000,2,$129
Office Supplies,Rochester,United States,Charlotte Melton,2021-12-01,Other,2021/12/22,CA-2021-146164,55901,Personal File Boxes with Fold-Down Carry Handle,Central,Consumer,伪,2021/12/26,Standard Class,伪,Minnesota,Other (median),3,Storage,0,7.79,2,$31
Office Supplies,Wausau,United States,Maribeth Schnelling,2018-11-01,Other,2018/11/7,CA-2018-120278,54401,X-Rack File for Hanging Folders,Central,Consumer,伪,2018/11/12,Standard Class,伪,Wisconsin,Wisconsin,2,Storage,0,5.8708,2,$23
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Other,2020/9/13,CA-2020-105732,68104,"Elite 5"" Scissors",Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Supplies,0,5.07,2,$17
Office Supplies,Minneapolis,United States,Alex Avila,2021-06-01,Belkin,2021/6/29,CA-2021-147039,55407,"Belkin 325VA UPS Surge Protector, 6'",Central,Consumer,伪,2021/7/4,Standard Class,伪,Minnesota,Other (median),3,Appliances,0,90.735,3,$363
Office Supplies,Madison,United States,Jeremy Pistek,2021-12-01,Hoover,2021/12/8,CA-2021-117324,53711,Hoover WindTunnel Plus Canister Vacuum,Central,Consumer,伪,2021/12/13,Standard Class,伪,Wisconsin,Wisconsin,2,Appliances,0,305.13,3,"$1,090"
Office Supplies,Detroit,United States,Andrew Allen,2020-08-01,Newell,2020/8/26,CA-2020-114601,48234,Newell 335,Central,Consumer,伪,2020/9/2,Standard Class,伪,Michigan,Other (median),3,Art,0,2.5056,3,$9
Office Supplies,Westland,United States,Xylona Preis,2018-01-01,Panasonic,2018/1/20,CA-2018-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,伪,2018/1/26,Standard Class,伪,Michigan,Other (median),3,Art,0,12.7368,3,$44
Office Supplies,Apple Valley,United States,Carol Triggs,2021-06-01,Newell,2021/6/4,CA-2021-158106,55124,Newell 346,Central,Consumer,伪,2021/6/10,Standard Class,伪,Minnesota,Other (median),3,Art,0,2.5056,3,$9
Office Supplies,Mishawaka,United States,Rick Duston,2020-03-01,Other,2020/3/4,CA-2020-164637,46544,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",Central,Consumer,伪,2020/3/8,Standard Class,伪,Indiana,Other (median),3,Binders,0,64.2,3,$128
Office Supplies,Detroit,United States,Rob Dowd,2020-11-01,Ibico,2020/11/22,CA-2020-131576,48205,Ibico Standard Transparent Covers,Central,Consumer,伪,2020/11/26,Standard Class,伪,Michigan,Other (median),3,Binders,0,24.2256,3,$49
Office Supplies,Detroit,United States,Bobby Trafton,2018-11-01,Other,2018/11/23,CA-2018-139283,48227,UniKeep View Case Binders,Central,Consumer,伪,2018/11/27,Standard Class,伪,Michigan,Other (median),3,Binders,0,6.7482,3,$15
Office Supplies,Midland,United States,Jeremy Lonsdale,2018-11-01,Storex,2018/11/14,CA-2018-162362,48640,Storex DuraTech Recycled Plastic Frosted Binders,Central,Consumer,伪,2018/11/18,Standard Class,伪,Michigan,Other (median),3,Binders,0,6.36,3,$13
Office Supplies,Springfield,United States,Adam Shillingsburg,2019-11-01,Other,2019/11/9,CA-2019-127509,65807,Binder Posts,Central,Consumer,伪,2019/11/13,Standard Class,伪,Missouri,Missouri,2,Binders,0,7.9212,3,$17
Office Supplies,Norfolk,United States,Sonia Sunley,2019-04-01,Fellowes,2019/4/13,CA-2019-120551,68701,Fellowes Black Plastic Comb Bindings,Central,Consumer,伪,2019/4/20,Standard Class,伪,Nebraska,Nebraska,2,Binders,0,8.0178,3,$17
Office Supplies,Wausau,United States,Maribeth Schnelling,2018-11-01,ACCOHIDE,2018/11/7,CA-2018-120278,54401,"ACCOHIDE 3-Ring Binder, Blue, 1""",Central,Consumer,伪,2018/11/12,Standard Class,伪,Wisconsin,Wisconsin,2,Binders,0,5.8233,3,$12
Office Supplies,Des Moines,United States,Christina VanderZanden,2018-03-01,Poly,2018/3/28,US-2018-137869,50315,Poly String Tie Envelopes,Central,Consumer,伪,2018/4/2,Standard Class,伪,Iowa,Other (median),3,Envelopes,0,2.8764,3,$6
Office Supplies,Springfield,United States,Adam Shillingsburg,2019-11-01,Other,2019/11/9,CA-2019-127509,65807,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Central,Consumer,伪,2019/11/13,Standard Class,伪,Missouri,Missouri,2,Envelopes,0,12.3234,3,$26
Office Supplies,Lafayette,United States,Speros Goranitis,2018-01-01,Alliance,2018/1/23,CA-2018-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,伪,2018/1/27,Standard Class,伪,Indiana,Other (median),3,Fasteners,0,0,3,$6
Office Supplies,Indianapolis,United States,Karl Braun,2019-05-01,Avery,2019/5/29,CA-2019-168277,46203,Avery 476,Central,Consumer,伪,2019/6/3,Standard Class,伪,Indiana,Other (median),3,Labels,0,5.6994,3,$12
Office Supplies,Wichita,United States,Sonia Sunley,2020-06-01,Avery,2020/6/13,CA-2020-136287,67212,Avery 51,Central,Consumer,伪,2020/6/17,Standard Class,伪,Kansas,Other (median),3,Labels,0,8.694,3,$19
Office Supplies,Eagan,United States,Daniel Lacy,2021-11-01,Avery,2021/11/3,CA-2021-121615,55122,Avery 513,Central,Consumer,伪,2021/11/9,Standard Class,伪,Minnesota,Other (median),3,Labels,0,6.8724,3,$15
Office Supplies,Midland,United States,Sam Craven,2018-11-01,Xerox,2018/11/10,CA-2018-121006,48640,Xerox 199,Central,Consumer,伪,2018/11/16,Standard Class,伪,Michigan,Other (median),3,Paper,0,5.778,3,$13
Office Supplies,Midland,United States,Sam Craven,2018-11-01,Xerox,2018/11/10,CA-2018-121006,48640,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Central,Consumer,伪,2018/11/16,Standard Class,伪,Michigan,Other (median),3,Paper,0,7.128,3,$16
Office Supplies,Springfield,United States,Adam Shillingsburg,2019-11-01,Xerox,2019/11/9,CA-2019-127509,65807,Xerox 1978,Central,Consumer,伪,2019/11/13,Standard Class,伪,Missouri,Missouri,2,Paper,0,8.4966,3,$17
Office Supplies,Springfield,United States,Andrew Allen,2020-07-01,Strathmore,2020/7/17,CA-2020-121671,65807,Strathmore Photo Frame Cards,Central,Consumer,伪,2020/7/22,Standard Class,伪,Missouri,Missouri,2,Paper,0,10.0878,3,$22
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Adams,2020/9/13,CA-2020-105732,68104,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Paper,0,8.6436,3,$18
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Things To Do,2020/9/13,CA-2020-105732,68104,Things To Do Today Pad,Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Paper,0,8.4528,3,$18
Office Supplies,Omaha,United States,Greg Tran,2021-06-01,Wirebound,2021/6/27,CA-2021-151190,68104,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Central,Consumer,伪,2021/7/1,Standard Class,伪,Nebraska,Nebraska,2,Paper,0,9.2322,3,$20
Office Supplies,Oklahoma City,United States,Anna Andreadi,2019-11-01,Easy-staple paper,2019/11/17,CA-2019-110863,73120,Easy-staple paper,Central,Consumer,伪,2019/11/24,Standard Class,伪,Oklahoma,Oklahoma,2,Paper,0,49.9704,3,$106
Office Supplies,Tulsa,United States,Aimee Bixby,2019-09-01,Xerox,2019/9/10,CA-2019-168186,74133,Xerox 1952,Central,Consumer,伪,2019/9/15,Standard Class,伪,Oklahoma,Oklahoma,2,Paper,0,7.0218,3,$15
Office Supplies,Midland,United States,Sam Craven,2018-11-01,Acco,2018/11/10,CA-2018-121006,48640,Acco Perma 3000 Stacking Storage Drawers,Central,Consumer,伪,2018/11/16,Standard Class,伪,Michigan,Other (median),3,Storage,0,11.9586,3,$63
Office Supplies,Midland,United States,Sam Craven,2018-11-01,Other,2018/11/10,CA-2018-121006,48640,"Hot File 7-Pocket, Floor Stand",Central,Consumer,伪,2018/11/16,Standard Class,伪,Michigan,Other (median),3,Storage,0,160.623,3,$535
Office Supplies,Springfield,United States,Andrew Allen,2020-07-01,Carina,2020/7/17,CA-2020-121671,65807,"Carina 42""Hx23 3/4""W Media Storage Unit",Central,Consumer,伪,2020/7/22,Standard Class,伪,Missouri,Missouri,2,Storage,0,4.858800000,3,$243
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Rogers,2020/9/13,CA-2020-105732,68104,"Rogers Jumbo File, Granite",Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Storage,0,0.407400000,3,$41
Office Supplies,Wausau,United States,Maribeth Schnelling,2018-11-01,Other,2018/11/7,CA-2018-120278,54401,Portable Personal File Box,Central,Consumer,伪,2018/11/12,Standard Class,伪,Wisconsin,Wisconsin,2,Storage,0,9.8901,3,$37
Office Supplies,Waterloo,United States,Natalie Webber,2021-07-01,Staples in misc. colors,2021/7/11,CA-2021-127656,50701,Staples in misc. colors,Central,Consumer,伪,2021/7/17,Standard Class,伪,Iowa,Other (median),3,Art,0,11.8248,4,$30
Office Supplies,Detroit,United States,Maurice Satty,2018-04-01,Newell,2018/4/4,CA-2018-133228,48205,Newell 319,Central,Consumer,伪,2018/4/9,Standard Class,伪,Michigan,Other (median),3,Art,0,23.808,4,$79
Office Supplies,Detroit,United States,Joseph Airdo,2020-09-01,GBC,2020/9/1,CA-2020-116526,48227,GBC Plastic Binding Combs,Central,Consumer,伪,2020/9/5,Standard Class,伪,Michigan,Other (median),3,Binders,0,14.4648,4,$30
Office Supplies,Detroit,United States,Max Jones,2021-03-01,GBC,2021/3/11,CA-2021-147291,48227,GBC DocuBind TL200 Manual Binding Machine,Central,Consumer,伪,2021/3/17,Standard Class,伪,Michigan,Other (median),3,Binders,0,421.0824,4,$896
Office Supplies,Detroit,United States,Christina VanderZanden,2021-04-01,Cardinal,2021/4/20,CA-2021-119655,48234,Cardinal EasyOpen D-Ring Binders,Central,Consumer,伪,2021/4/24,Standard Class,伪,Michigan,Other (median),3,Binders,0,18.28,4,$37
Office Supplies,Jackson,United States,Paul MacIntyre,2018-05-01,Fellowes,2018/5/4,CA-2018-117709,49201,Fellowes Binding Cases,Central,Consumer,伪,2018/5/8,Standard Class,伪,Michigan,Other (median),3,Binders,0,21.06,4,$47
Office Supplies,Midland,United States,Jeremy Lonsdale,2018-11-01,Avery,2018/11/14,CA-2018-162362,48640,Avery Durable Binders,Central,Consumer,伪,2018/11/18,Standard Class,伪,Michigan,Other (median),3,Binders,0,5.6448,4,$12
Office Supplies,Urbandale,United States,William Brown,2021-11-01,Other,2021/11/11,CA-2021-120327,50322,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Central,Consumer,伪,2021/11/16,Standard Class,伪,Iowa,Other (median),3,Fasteners,0,21.5824,4,$46
Office Supplies,Detroit,United States,Bruce Stewart,2020-11-01,REDIFORM,2020/11/30,CA-2020-156748,48227,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Central,Consumer,伪,2020/12/6,Standard Class,伪,Michigan,Other (median),3,Paper,0,16.68,4,$33
Office Supplies,Madison,United States,Jeremy Pistek,2021-12-01,Adams,2021/12/8,CA-2021-117324,53711,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Central,Consumer,伪,2021/12/13,Standard Class,伪,Wisconsin,Wisconsin,2,Paper,0,12.6592,4,$28
Office Supplies,Coon Rapids,United States,Mitch Webber,2018-11-01,Other,2018/11/19,CA-2018-150518,55433,Recycled Steel Personal File for Standard File Folders,Central,Consumer,伪,2018/11/24,Standard Class,伪,Minnesota,Other (median),3,Storage,0,57.5016,4,$221
Office Supplies,Oklahoma City,United States,Anna Andreadi,2019-11-01,Tennsco,2019/11/17,CA-2019-110863,73120,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Central,Consumer,伪,2019/11/24,Standard Class,伪,Oklahoma,Oklahoma,2,Storage,0,5.412400000,4,$541
Office Supplies,Milwaukee,United States,Trudy Schmidt,2019-04-01,Belkin,2019/4/25,CA-2019-153878,53209,Belkin 5 Outlet SurgeMaster Power Centers,Central,Consumer,伪,2019/4/30,Standard Class,伪,Wisconsin,Wisconsin,2,Appliances,0,76.272,5,$272
Office Supplies,Westland,United States,Dennis Kane,2020-07-01,Avery,2020/7/22,US-2020-111290,48185,Avery Hi-Liter Smear-Safe Highlighters,Central,Consumer,伪,2020/7/26,Standard Class,伪,Michigan,Other (median),3,Art,0,10.512,5,$29
Office Supplies,Rochester,United States,Theone Pippenger,2021-12-01,Newell,2021/12/4,US-2021-107384,55901,Newell 310,Central,Consumer,伪,2021/12/8,Standard Class,伪,Minnesota,Other (median),3,Art,0,2.552,5,$9
Office Supplies,Milwaukee,United States,Trudy Schmidt,2019-04-01,Newell,2019/4/25,CA-2019-153878,53209,Newell 324,Central,Consumer,伪,2019/4/30,Standard Class,伪,Wisconsin,Wisconsin,2,Art,0,16.17,5,$58
Office Supplies,Indianapolis,United States,Herbert Flentye,2021-12-01,Other,2021/12/9,CA-2021-129833,46203,Economy Binders,Central,Consumer,伪,2021/12/15,Standard Class,伪,Indiana,Other (median),3,Binders,0,5.096,5,$10
Office Supplies,Detroit,United States,Bill Donatelli,2019-08-01,GBC,2019/8/10,CA-2019-121699,48227,GBC Binding covers,Central,Consumer,伪,2019/8/14,Standard Class,伪,Michigan,Other (median),3,Binders,0,29.1375,5,$65
Office Supplies,Detroit,United States,Joseph Airdo,2020-09-01,Wilson Jones,2020/9/1,CA-2020-116526,48227,"Wilson Jones 1"" Hanging DublLock Ring Binders",Central,Consumer,伪,2020/9/5,Standard Class,伪,Michigan,Other (median),3,Binders,0,12.672,5,$26
Office Supplies,Detroit,United States,Joseph Airdo,2020-09-01,Wilson Jones,2020/9/1,CA-2020-116526,48227,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,伪,2020/9/5,Standard Class,伪,Michigan,Other (median),3,Binders,0,11.086,5,$24
Office Supplies,Grand Rapids,United States,Edward Nazzal,2020-09-01,GBC,2020/9/20,CA-2020-126284,49505,GBC Poly Designer Binding Covers,Central,Consumer,伪,2020/9/24,Standard Class,伪,Michigan,Other (median),3,Binders,0,41.013,5,$84
Office Supplies,Grand Rapids,United States,Luke Weiss,2021-12-01,GBC,2021/12/9,CA-2021-102659,49505,GBC Imprintable Covers,Central,Consumer,伪,2021/12/15,Standard Class,伪,Michigan,Other (median),3,Binders,0,26.901,5,$55
Office Supplies,Westland,United States,Xylona Preis,2018-01-01,Acco,2018/1/20,CA-2018-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,伪,2018/1/26,Standard Class,伪,Michigan,Other (median),3,Binders,0,8.9535,5,$19
Office Supplies,Westland,United States,Xylona Preis,2018-01-01,Storex,2018/1/20,CA-2018-167927,48185,Storex Dura Pro Binders,Central,Consumer,伪,2018/1/26,Standard Class,伪,Michigan,Other (median),3,Binders,0,13.365,5,$30
Office Supplies,Minneapolis,United States,Sanjit Chand,2018-09-01,Ibico,2018/9/23,CA-2018-116904,55407,Ibico EPK-21 Electric Binding System,Central,Consumer,伪,2018/9/28,Standard Class,伪,Minnesota,Other (median),3,Binders,0,4630.4755,5,"$9,450"
Office Supplies,Tulsa,United States,Andrew Roberts,2021-12-01,Other,2021/12/16,CA-2021-111808,74133,Peel & Stick Add-On Corner Pockets,Central,Consumer,伪,2021/12/20,Standard Class,伪,Oklahoma,Oklahoma,2,Binders,0,5.184,5,$11
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Avery,2020/9/13,CA-2020-105732,68104,Avery 49,Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Labels,0,7.056,5,$14
Office Supplies,Bloomington,United States,Stewart Visinsky,2018-04-01,Xerox,2018/4/12,US-2018-158365,47401,Xerox 213,Central,Consumer,伪,2018/4/17,Standard Class,伪,Indiana,Other (median),3,Paper,0,15.552,5,$32
Office Supplies,Indianapolis,United States,Herbert Flentye,2021-12-01,Wirebound,2021/12/9,CA-2021-129833,46203,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Central,Consumer,伪,2021/12/15,Standard Class,伪,Indiana,Other (median),3,Paper,0,15.387,5,$33
Office Supplies,Lafayette,United States,Robert Waldorf,2021-03-01,Other,2021/3/21,CA-2021-169285,47905,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Central,Consumer,伪,2021/3/25,Standard Class,伪,Indiana,Other (median),3,Paper,0,133.152,5,$277
Office Supplies,Burlington,United States,Patrick O'Brill,2021-12-01,Other,2021/12/26,US-2021-106705,52601,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Central,Consumer,伪,2022/1/1,Standard Class,伪,Iowa,Other (median),3,Paper,0,20.585,5,$45
Office Supplies,Wichita,United States,Giulietta Baptist,2021-01-01,Xerox,2021/1/28,US-2021-147984,67212,Xerox 1934,Central,Consumer,伪,2021/2/1,Standard Class,伪,Kansas,Other (median),3,Paper,0,137.151,5,$280
Office Supplies,Westland,United States,Dennis Kane,2020-07-01,Xerox,2020/7/22,US-2020-111290,48185,Xerox 192,Central,Consumer,伪,2020/7/26,Standard Class,伪,Michigan,Other (median),3,Paper,0,15.552,5,$32
Office Supplies,Minneapolis,United States,Sanjit Chand,2018-09-01,Xerox,2018/9/23,CA-2018-116904,55407,Xerox 217,Central,Consumer,伪,2018/9/28,Standard Class,伪,Minnesota,Other (median),3,Paper,0,15.552,5,$32
Office Supplies,Westland,United States,Dennis Kane,2020-07-01,Fellowes,2020/7/22,US-2020-111290,48185,Fellowes Staxonsteel Drawer Files,Central,Consumer,伪,2020/7/26,Standard Class,伪,Michigan,Other (median),3,Storage,0,135.219,5,$966
Office Supplies,Eagan,United States,Daniel Lacy,2021-11-01,Sterilite,2021/11/3,CA-2021-121615,55122,Sterilite Officeware Hinged File Box,Central,Consumer,伪,2021/11/9,Standard Class,伪,Minnesota,Other (median),3,Storage,0,14.148,5,$52
Office Supplies,Minneapolis,United States,Sanjit Chand,2018-09-01,Carina,2018/9/23,CA-2018-116904,55407,Carina Double Wide Media Storage Towers in Natural & Black,Central,Consumer,伪,2018/9/28,Standard Class,伪,Minnesota,Other (median),3,Storage,0,16.196,5,$405
Office Supplies,Waukesha,United States,Jennifer Jackson,2020-09-01,Other,2020/9/3,CA-2020-163986,53186,Crate-A-Files,Central,Consumer,伪,2020/9/10,Standard Class,伪,Wisconsin,Wisconsin,2,Storage,0,14.17,5,$55
Office Supplies,Lawton,United States,Corey-Lock,2018-06-01,Honeywell,2018/6/20,US-2018-112949,73505,Honeywell Quietcare HEPA Air Cleaner,Central,Consumer,伪,2018/6/27,Standard Class,伪,Oklahoma,Oklahoma,2,Appliances,0,155.727,6,$472
Office Supplies,Wausau,United States,Maribeth Schnelling,2018-11-01,Belkin,2018/11/7,CA-2018-120278,54401,Belkin 8 Outlet Surge Protector,Central,Consumer,伪,2018/11/12,Standard Class,伪,Wisconsin,Wisconsin,2,Appliances,0,68.8464,6,$246
Office Supplies,Lakeville,United States,Bradley Nguyen,2018-03-01,Newell,2018/3/17,CA-2018-118339,55044,Newell 35,Central,Consumer,伪,2018/3/24,Standard Class,伪,Minnesota,Other (median),3,Art,0,5.7072,6,$20
Office Supplies,Indianapolis,United States,Patrick O'Donnell,2021-08-01,Other,2021/8/5,CA-2021-128328,46203,Premium Transparent Presentation Covers by GBC,Central,Consumer,伪,2021/8/9,Standard Class,伪,Indiana,Other (median),3,Binders,0,60.4224,6,$126
Office Supplies,Detroit,United States,Ashley Jarboe,2019-06-01,Other,2019/6/1,US-2019-132836,48227,Catalog Binders with Expanding Posts,Central,Consumer,伪,2019/6/5,Standard Class,伪,Michigan,Other (median),3,Binders,0,181.656,6,$404
Office Supplies,Lakeville,United States,Bradley Nguyen,2018-03-01,Avery,2018/3/17,CA-2018-118339,55044,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Central,Consumer,伪,2018/3/24,Standard Class,伪,Minnesota,Other (median),3,Binders,0,17.2224,6,$36
Office Supplies,Columbus,United States,Ivan Liston,2021-08-01,Staple envelope,2021/8/10,CA-2021-143063,47201,Staple envelope,Central,Consumer,伪,2021/8/15,Standard Class,伪,Indiana,Other (median),3,Envelopes,0,35.04,6,$70
Office Supplies,Lawrence,United States,Anna Chung,2020-09-01,Xerox,2020/9/22,CA-2020-158617,46226,Xerox 1895,Central,Consumer,伪,2020/9/28,Standard Class,伪,Indiana,Other (median),3,Paper,0,16.146,6,$36
Office Supplies,Omaha,United States,Alejandro Grove,2020-09-01,Fellowes,2020/9/13,CA-2020-105732,68104,"Fellowes Mobile File Cart, Black",Central,Consumer,伪,2020/9/18,Standard Class,伪,Nebraska,Nebraska,2,Storage,0,100.7316,6,$373
Office Supplies,New Castle,United States,Sarah Foster,2019-03-01,Staple holder,2019/3/5,CA-2019-153108,47362,Staple holder,Central,Consumer,伪,2019/3/9,Standard Class,伪,Indiana,Other (median),3,Appliances,0,16.3863,7,$61
Office Supplies,Detroit,United States,Emily Phan,2021-11-01,Boston,2021/11/11,CA-2021-157483,48227,Boston 1799 Powerhouse Electric Pencil Sharpener,Central,Consumer,伪,2021/11/18,Standard Class,伪,Michigan,Other (median),3,Art,0,50.9208,7,$182
Office Supplies,Detroit,United States,Christina VanderZanden,2021-04-01,Other,2021/4/20,CA-2021-119655,48234,Premium Transparent Presentation Covers by GBC,Central,Consumer,伪,2021/4/24,Standard Class,伪,Michigan,Other (median),3,Binders,0,70.4928,7,$147
Office Supplies,Detroit,United States,Ashley Jarboe,2019-06-01,Avery,2019/6/1,US-2019-132836,48227,Avery 491,Central,Consumer,伪,2019/6/5,Standard Class,伪,Michigan,Other (median),3,Labels,0,13.2986,7,$29
Office Supplies,Sioux Falls,United States,Raymond Buch,2021-07-01,Avery,2021/7/25,CA-2021-169810,57103,Avery 498,Central,Consumer,伪,2021/7/31,Standard Class,伪,South Dakota,Other (median),3,Labels,0,9.5081,7,$20
Office Supplies,Columbus,United States,Russell Applegate,2019-11-01,Other,2019/11/13,CA-2019-149909,47201,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",Central,Consumer,伪,2019/11/17,Standard Class,伪,Indiana,Other (median),3,Paper,0,28.6965,7,$64
Office Supplies,Grand Rapids,United States,Ryan Crowe,2020-09-01,Other,2020/9/22,US-2020-157728,49505,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Central,Consumer,伪,2020/9/28,Standard Class,伪,Michigan,Other (median),3,Paper,0,16.7132,7,$36
Office Supplies,Lakeville,United States,Bradley Nguyen,2018-03-01,Other,2018/3/17,CA-2018-118339,55044,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,伪,2018/3/24,Standard Class,伪,Minnesota,Other (median),3,Paper,0,23.59,7,$47
Office Supplies,Detroit,United States,Bruce Stewart,2020-11-01,Other,2020/11/30,CA-2020-156748,48227,Sensible Storage WireTech Storage Systems,Central,Consumer,伪,2020/12/6,Standard Class,伪,Michigan,Other (median),3,Storage,0,24.843000000,7,$497
Office Supplies,Trenton,United States,Joy Smith,2020-10-01,Other,2020/10/20,CA-2020-160220,48183,Woodgrain Magazine Files by Perma,Central,Consumer,伪,2020/10/26,Standard Class,伪,Michigan,Other (median),3,Storage,0,1.4602,7,$21
Office Supplies,Minneapolis,United States,Mark Hamilton,2021-02-01,Holmes,2021/2/13,CA-2021-154809,55407,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Central,Consumer,伪,2021/2/17,Standard Class,伪,Minnesota,Other (median),3,Appliances,0,38.9752,8,$91
Office Supplies,Springfield,United States,Andrew Allen,2020-07-01,Xerox,2020/7/17,CA-2020-121671,65807,Xerox 1993,Central,Consumer,伪,2020/7/22,Standard Class,伪,Missouri,Missouri,2,Paper,0,25.4016,8,$52
Office Supplies,Lawrence,United States,Ashley Jarboe,2021-08-01,Tripp Lite,2021/8/31,CA-2021-133004,46226,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Central,Consumer,伪,2021/9/5,Standard Class,伪,Indiana,Other (median),3,Appliances,0,166.0698,9,$639
Office Supplies,Midland,United States,John Huston,2018-05-01,Avery,2018/5/19,US-2018-107699,48640,Avery Heavy-Duty EZD View Binder with Locking Rings,Central,Consumer,伪,2018/5/23,Standard Class,伪,Michigan,Other (median),3,Binders,0,26.4132,9,$57
Office Supplies,Indianapolis,United States,Patrick O'Donnell,2021-08-01,Avery,2021/8/5,CA-2021-128328,46203,Avery 475,Central,Consumer,伪,2021/8/9,Standard Class,伪,Indiana,Other (median),3,Labels,0,66.6,9,$133
Office Supplies,Lakeville,United States,Hunter Glantz,2021-11-01,Sanford,2021/11/20,CA-2021-146724,55044,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Central,Consumer,伪,2021/11/27,Standard Class,伪,Minnesota,Other (median),3,Art,0,9.68,10,$22
Office Supplies,Lakeville,United States,Bradley Nguyen,2018-03-01,Wilson Jones,2018/3/17,CA-2018-118339,55044,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Consumer,伪,2018/3/24,Standard Class,伪,Minnesota,Other (median),3,Binders,0,25.098,10,$53
Office Supplies,Richmond,United States,Sarah Foster,2018-12-01,Belkin,2018/12/23,CA-2018-142314,47374,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Central,Consumer,伪,2018/12/28,Standard Class,伪,Indiana,Other (median),3,Appliances,0,58.0272,11,$207
Office Supplies,Detroit,United States,Adrian Barton,2020-12-01,GBC,2020/12/17,CA-2020-117121,48205,GBC Ibimaster 500 Manual ProClick Binding System,Central,Consumer,伪,2020/12/21,Standard Class,伪,Michigan,Other (median),3,Binders,0,4946.37,13,"$9,893"
Office Supplies,Jackson,United States,Logan Haushalter,2020-12-01,Holmes,2020/12/9,CA-2020-133340,49201,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,伪,2020/12/13,Standard Class,伪,Michigan,Other (median),3,Appliances,0.1,23.3954,1,$62
Office Supplies,Detroit,United States,Ken Lonsdale,2020-07-01,Honeywell,2020/7/31,CA-2020-133550,48205,Honeywell Quietcare HEPA Air Cleaner,Central,Consumer,伪,2020/8/6,Standard Class,伪,Michigan,Other (median),3,Appliances,0.1,72.358,4,$283
Office Supplies,Detroit,United States,Joseph Airdo,2020-09-01,Eureka,2020/9/1,CA-2020-116526,48227,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Central,Consumer,伪,2020/9/5,Standard Class,伪,Michigan,Other (median),3,Appliances,0.1,71.162,4,$377
Office Supplies,Westland,United States,Xylona Preis,2018-01-01,Holmes,2018/1/20,CA-2018-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,伪,2018/1/26,Standard Class,伪,Michigan,Other (median),3,Appliances,0.1,93.5816,4,$248
